layer_index,layer_offset_from_final,analogy_cos,heldout_acc,axis_angle_deg,steps,lr,train_seed,split_seed
1,35,0.99359130859375,1.0,81.5125236248153,3000,0.01,1337,1337
2,34,0.9964615106582642,1.0,86.59514316458217,3000,0.01,1337,1337
3,33,0.9968425631523132,1.0,87.74333510153255,3000,0.01,1337,1337
4,32,0.9319697022438049,1.0,81.39017778408083,3000,0.01,1337,1337
5,31,0.9260842800140381,1.0,80.46757080837699,3000,0.01,1337,1337
6,30,0.8867069482803345,1.0,112.72944014735437,3000,0.01,1337,1337
7,29,0.9191504716873169,1.0,108.896377725865,3000,0.01,1337,1337
8,28,0.9371005296707153,1.0,81.66669983206921,3000,0.01,1337,1337
9,27,0.9971184730529785,1.0,84.33501978388915,3000,0.01,1337,1337
10,26,0.9950063228607178,1.0,90.19201141108496,3000,0.01,1337,1337
11,25,0.26538899540901184,1.0,55.78248354937286,3000,0.01,1337,1337
12,24,0.3142266869544983,1.0,53.15579491382769,3000,0.01,1337,1337
13,23,0.9221319556236267,1.0,92.18942401043421,3000,0.01,1337,1337
14,22,-0.2709202468395233,1.0,71.33053661340755,3000,0.01,1337,1337
15,21,0.934063732624054,1.0,90.56970351329824,3000,0.01,1337,1337
16,20,0.015543460845947266,1.0,65.52004363100049,3000,0.01,1337,1337
17,19,0.9339727759361267,1.0,91.91919806559947,3000,0.01,1337,1337
18,18,0.9310057759284973,1.0,90.77989166687809,3000,0.01,1337,1337
19,17,0.9515945911407471,1.0,93.78367240448173,3000,0.01,1337,1337
20,16,0.9539347887039185,1.0,102.24925690911476,3000,0.01,1337,1337
21,15,0.9567523002624512,1.0,103.3200151769647,3000,0.01,1337,1337
22,14,0.9285491704940796,1.0,94.97920961631242,3000,0.01,1337,1337
23,13,0.9332403540611267,1.0,93.41494581124559,3000,0.01,1337,1337
24,12,0.9296591877937317,1.0,94.10318396387466,3000,0.01,1337,1337
25,11,0.9508863091468811,1.0,105.30210256444025,3000,0.01,1337,1337
26,10,0.9839437007904053,1.0,105.77890110280171,3000,0.01,1337,1337
27,9,0.9727225303649902,1.0,91.87708049855732,3000,0.01,1337,1337
28,8,0.9711422920227051,1.0,91.85405567946816,3000,0.01,1337,1337
29,7,0.9769338369369507,1.0,91.16552751351763,3000,0.01,1337,1337
30,6,0.9997318983078003,1.0,91.60887657391267,3000,0.01,1337,1337
31,5,0.9861350059509277,1.0,83.92365411803138,3000,0.01,1337,1337
32,4,0.9920586347579956,1.0,81.52491074097047,3000,0.01,1337,1337
33,3,0.9915728569030762,1.0,84.67919404402025,3000,0.01,1337,1337
34,2,0.4856783151626587,1.0,18.97832041166285,3000,0.01,1337,1337
35,1,0.4152524769306183,1.0,34.41088744490577,3000,0.01,1337,1337
36,0,0.7304081916809082,1.0,56.00526900713984,3000,0.01,1337,1337
